unnamed:_0.1,unnamed:_0,restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
0,0,#Feeltheroll,Quick Bites,3.4,7,2000,No,No,Fast Food,Bellandur,Bellandur
1,1,#L-81 Cafe,Quick Bites,3.9,48,4000,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR
2,2,#Refuel,Cafe,3.7,37,4000,Yes,No,Cafe,Bannerghatta Road,Bannerghatta Road
3,3,'@ Biryani Central,Casual Dining,2.7,135,5500,Yes,No,Biryani,Marathahalli,Marathahalli
4,4,'@ The Bbq,Casual Dining,2.8,40,7000,Yes,No,Bbq,Bellandur,Bellandur
5,5,'@99,"Takeaway, Delivery",3.4,37,2000,No,No,Mughlai,Whitefield,Whitefield
6,6,'@Italy,Casual Dining,4.1,305,7000,Yes,No,Italian,Banashankari,Kumaraswamy Layout
7,7,'@North Parontha Hut,"Takeaway, Delivery",2.8,40,3000,No,No,North Indian,Indiranagar,Old Airport Road
8,8,1000 B.C,Quick Bites,3.2,49,3000,Yes,No,Arabian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
9,9,100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,Casual Dining,3.7,41,4500,No,No,Biryani,"Byresandra,Tavarekere,Madiwala",BTM
10,10,11 To 11 Express Biriyanis,Quick Bites,3.5,22,3000,Yes,No,Biryani,Electronic City,Electronic City
11,11,1131 Bar + Kitchen,"Bar, Casual Dining",4.4,2861,15000,No,Yes,Continental,Old Airport Road,Indiranagar
12,12,12Th Main - Grand Mercure,Fine Dining,4.1,353,20000,No,Yes,European,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
13,13,1441 Pizzeria,Casual Dining,4.1,119,8000,Yes,No,Pizza,Basavanagudi,JP Nagar
14,14,1522 - The Pub,Pub,4.2,1731,14000,Yes,No,Chinese,Malleshwaram,Malleshwaram
15,15,154 Breakfast Club,Cafe,4.0,1509,9000,Yes,Yes,Cafe,"Byresandra,Tavarekere,Madiwala",Koramangala 3rd Block
16,16,1722 Urban Bistro,Casual Dining,4.1,218,6000,Yes,Yes,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
17,17,18+ Ice Cafe,Cafe,3.5,24,5500,No,No,Cafe,Kalyan Nagar,Kammanahalli
18,18,1947,Casual Dining,3.9,620,10000,No,Yes,North Indian,Rajajinagar,Rajajinagar
19,19,1980S Games Cafe,Cafe,3.4,58,4000,Yes,No,Cafe,Banashankari,Basavanagudi
20,20,1992 Chats - Space,Quick Bites,3.7,33,2000,Yes,No,Street Food,Malleshwaram,Rajajinagar
21,21,1Q1,"Casual Dining, Bar",4.3,595,25000,No,Yes,Asian,Brigade Road,Infantry Road
22,22,1To3 Kitchen,Delivery,3.1,11,8000,No,No,North Indian,Marathahalli,Marathahalli
23,23,2 Statez,Casual Dining,3.7,209,6000,Yes,No,Kerala,Kalyan Nagar,Kalyan Nagar
24,24,20 Char - Sterlings Mac Hotel,"Casual Dining, Bar",4.0,419,14000,Yes,Yes,Chinese,Indiranagar,Old Airport Road
25,25,20 Feet High,"Casual Dining, Bar",4.0,932,10000,Yes,Yes,American,Brigade Road,Church Street
26,26,21 C - La Marvella Sarovar Premiere Hotel,Casual Dining,3.6,15,10000,No,No,Continental,Basavanagudi,Jayanagar
27,27,24 Carats - The Capitol,Casual Dining,3.1,46,10000,No,No,Asian,Brigade Road,Cunningham Road
28,28,24 Hours Cake Delivery,Delivery,3.3,4,7000,No,No,Bakery,Indiranagar,Old Airport Road
29,29,24 Hours Coffee Drop - La Classic,Cafe,3.4,9,8000,No,No,Cafe,Electronic City,Electronic City
30,30,24/7 - The Lalit Ashok Bangalore,Fine Dining,4.0,344,30000,No,Yes,Continental,Malleshwaram,Seshadripuram
31,31,24/7 Food Service,"Takeaway, Delivery",2.9,7,3000,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",JP Nagar
32,32,24@43 - The Oterra,Fine Dining,4.1,268,30000,No,Yes,North Indian,Electronic City,Electronic City
33,33,24Th Main,Casual Dining,4.1,1234,8000,No,Yes,North Indian,Bannerghatta Road,JP Nagar
34,34,29 Degrees North,Quick Bites,3.9,283,2500,Yes,No,North Indian,Kalyan Nagar,Banaswadi
35,35,2Nd Home Restaurant,Quick Bites,3.7,21,5000,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",BTM
36,36,3 Leafs,Casual Dining,3.7,128,6000,Yes,No,North Indian,Marathahalli,Kaggadasapura
37,37,3 Spice,Casual Dining,3.9,156,4500,Yes,No,North Indian,Koramangala 7Th Block,Wilson Garden
38,38,30 Square,Quick Bites,4.2,556,4000,Yes,No,Tibetan,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
39,39,360 Atoms Restaurant And Cafe,Cafe,3.1,13,4000,Yes,No,Cafe,Banashankari,Banashankari
40,40,36Th Cross Coffee Mane,Casual Dining,3.7,29,5000,No,No,North Indian,Jp Nagar,BTM
41,41,37 China Town,Casual Dining,3.5,58,9000,No,No,Chinese,Lavelle Road,Race Course Road
